rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/hole_in_my_heart,Frank Scheck,True,Hollywood Reporter,Rotten,,2005-04-11,"An experimental, transgressive work that pretty much fails on every level."
m/anchorman,Susan Granger,False,Modamag.com,Fresh,7/10,2004-07-09,"An enthusiastic, harmlessly silly celebration of the empancipation of the TV newsroom."
m/cheaper_by_the_dozen_2,Tony Wong,True,Toronto Star,Rotten,1.5/4,2005-12-21,"Sequels tend to be stupider by the dozen, and part two is perhaps overshadowed only by the banality and pointlessness of say, Leprechaun 6."
m/red_2,Jeff Meyers,False,"Metro Times (Detroit, MI)",Fresh,,2013-07-19,"Bruce Willis expends so little energy shaping his umpteenth action persona that he can't even be bothered to crack a smile. Luckily, Helen Mirren, Mary Louis Parker, Brian Cox and John Malkovich are all-too happy to step in and steal the limelight."
m/munich,Jack Mathews,True,New York Daily News,Rotten,2.5/4,2005-12-27,"The failure of a movie that is so good in so many ways leaves me to wonder if Spielberg is up to this kind of complex, multitasking story."
m/1135882-uncovered_the_war_on_iraq,Michael O'Sullivan,True,Washington Post,Rotten,,2004-08-20,"After listening to this steady anti-Bush drumbeat for the past several months, even the most devout progressives may start to feel as if they've heard much of this sermon a hundred times before."
m/after_the_ball_2014,Andrew Barker,True,Variety,Rotten,,2015-04-24,Portia Doubleday stars in a frothy teen comedy as unobjectionable as it is unmemorable.
m/the_dilemma,Wesley Morris,True,Boston Globe,Rotten,1/4,2011-01-13,"A comedy that seems terrified to acknowledge its darker, more sinister self, it's like an overmedicated patient or an addict in dread of relapse."
m/1204946-children,Lucius Gore,False,ESplatter,Fresh,3.5/4,2009-04-02,"As killer kid horror movies go, 'The Children' is easily one of the best."
m/marrowbone,Dan Jolin,False,Empire Magazine,Fresh,3/5,2018-07-11,A solid rather than spectacular creepshow thriller that would have benefited from Sánchez employing a few more original ideas.
m/its_a_disaster,Dan Jardine,False,Cinemania,Rotten,44/100,2014-01-12,As visually interesting as nuclear fallout.
m/the_iron_lady,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,4/5,2012-01-19,A two-and-a-half-star movie raised to four-star status solely on the performances of Meryl Streep and Jim Broadbent.
m/star_wars_episode_vii_the_force_awakens,Terri Schwartz,False,IGN Movies,Fresh,8.8/10,2015-12-16,"Star Wars: The Force Awakens is the movie it was promised to be, with great new characters, a respect for the original trilogy and a strong understanding of what makes this franchise click with fans."
m/amour_2013,Derek Smith,False,Tiny Mix Tapes,Fresh,,2017-10-04,"What the film lacks in Haneke's usually impressive formal rigor, it makes up for with truly earned emotional truths."
m/snapper,Emanuel Levy,False,EmanuelLevy.Com,Fresh,4/5,2005-08-10,
m/1111103-texas_rangers,Dave White,False,IFilm,Rotten,,2001-12-03,Makes American Outlaws look like a John Ford picture.
m/hillarys_america_the_secret_history_of_the_democratic_party,Glenn Kenny,True,New York Times,Rotten,,2016-07-21,This content ... will be familiar to anyone who's examined a right-wing website.
